iter	Passed	Remaining
0	0	81
1	1	73
2	2	67
3	2	60
4	3	59
5	3	57
6	4	56
7	4	54
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	51
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	13	46
23	14	47
24	15	46
25	16	46
26	17	46
27	17	45
28	18	44
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	46	18
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
